EVT_SAVE_VAR(495) GB_Unused_1EF
EVT_SAVE_VAR(496) GB_Unused_1F0
EVT_SAVE_VAR(497) GB_Unused_1F1
EVT_SAVE_VAR(498) GB_Unused_1F2
EVT_SAVE_VAR(499) GB_Unused_1F3
EVT_SAVE_VAR(500) GB_Unused_1F4
EVT_SAVE_VAR(501) GB_Unused_1F5
EVT_SAVE_VAR(502) GB_Unused_1F6
EVT_SAVE_VAR(503) GB_Unused_1F7
EVT_SAVE_VAR(504) GB_Unused_1F8
EVT_SAVE_VAR(505) GB_Unused_1F9
EVT_SAVE_VAR(506) GB_Unused_1FA
EVT_SAVE_VAR(507) GB_Unused_1FB
EVT_SAVE_VAR(508) GB_Unused_1FC
EVT_SAVE_VAR(509) GB_Unused_1FD
EVT_SAVE_VAR(510) GB_Unused_1FE
EVT_SAVE_VAR(511) GB_Unused_1FF
