EVT_SAVE_VAR(95) GB_Unused_HOS_05
EVT_SAVE_VAR(96) GB_Unused_HOS_06
EVT_SAVE_VAR(97) GB_Unused_HOS_07
EVT_SAVE_VAR(98) GB_Unused_HOS_08
EVT_SAVE_VAR(99) GB_Unused_HOS_09
EVT_SAVE_VAR(100) GB_Unused_NOK_00
EVT_SAVE_VAR(101) GB_Unused_NOK_01
EVT_SAVE_VAR(102) GB_Unused_NOK_02
EVT_SAVE_VAR(103) GB_Unused_NOK_03
EVT_SAVE_VAR(104) GB_Unused_NOK_04
EVT_SAVE_VAR(105) GB_Unused_NOK_05
EVT_SAVE_VAR(106) GB_Unused_NOK_06
EVT_SAVE_VAR(107) GB_Unused_NOK_07
EVT_SAVE_VAR(108) GB_Unused_NOK_08
EVT_SAVE_VAR(109) GB_Unused_NOK_09
EVT_SAVE_VAR(110) GB_Unused_NOK_0A
EVT_SAVE_VAR(111) GB_Unused_NOK_0B
EVT_SAVE_VAR(112) GB_Unused_TRD_00
EVT_SAVE_VAR(113) GB_Unused_TRD_01
EVT_SAVE_VAR(114) GB_Unused_TRD_02
EVT_SAVE_VAR(115) GB_Unused_TRD_03
EVT_SAVE_VAR(116) GB_Unused_TRD_04
EVT_SAVE_VAR(117) GB_Unused_TRD_05
EVT_SAVE_VAR(118) GB_Unused_TRD_06
EVT_SAVE_VAR(119) GB_Unused_TRD_07
EVT_SAVE_VAR(120) GB_Unused_TRD_08
EVT_SAVE_VAR(121) GB_Unused_TRD_09
EVT_SAVE_VAR(122) GB_IWA10_ReturnedLetterCount
EVT_SAVE_VAR(123) GB_IWA00_Whacka_HitCount
EVT_SAVE_VAR(124) GB_Unused_IWA_02
EVT_SAVE_VAR(125) GB_Unused_IWA_03
EVT_SAVE_VAR(126) GB_Unused_IWA_04
EVT_SAVE_VAR(127) GB_Unused_IWA_05
EVT_SAVE_VAR(128) GB_Unused_IWA_06
EVT_SAVE_VAR(129) GB_Unused_IWA_07
EVT_SAVE_VAR(130) GB_Unused_IWA_08
EVT_SAVE_VAR(131) GB_Unused_IWA_09
EVT_SAVE_VAR(132) GB_Unused_IWA_0A
EVT_SAVE_VAR(133) GB_Unused_IWA_0B
EVT_SAVE_VAR(134) GB_DRO02_SheekGiftCount
EVT_SAVE_VAR(135) GB_DRO02_SheekLemonGiftCount
EVT_SAVE_VAR(136) GB_Unused_DRO_02
EVT_SAVE_VAR(137) GB_Unused_DRO_03
EVT_SAVE_VAR(138) GB_Unused_DRO_04
EVT_SAVE_VAR(139) GB_Unused_DRO_05
EVT_SAVE_VAR(140) GB_Unused_DRO_06
EVT_SAVE_VAR(141) GB_Unused_DRO_07
EVT_SAVE_VAR(142) GB_Unused_DRO_08
EVT_SAVE_VAR(143) GB_Unused_DRO_09
EVT_SAVE_VAR(144) GB_Unused_DRO_0A
EVT_SAVE_VAR(145) GB_Unused_DRO_0B
EVT_SAVE_VAR(146) GB_Unused_SBK_00
EVT_SAVE_VAR(147) GB_Unused_SBK_01
EVT_SAVE_VAR(148) GB_Unused_SBK_02
EVT_SAVE_VAR(149) GB_Unused_SBK_03
EVT_SAVE_VAR(150) GB_Unused_SBK_04
EVT_SAVE_VAR(151) GB_Unused_SBK_05
EVT_SAVE_VAR(152) GB_Unused_SBK_06
EVT_SAVE_VAR(153) GB_Unused_SBK_07
EVT_SAVE_VAR(154) GB_Unused_SBK_08
EVT_SAVE_VAR(155) GB_Unused_SBK_09
EVT_SAVE_VAR(156) GB_ISK11_ItemSocket1
EVT_SAVE_VAR(157) GB_ISK11_ItemSocket2
EVT_SAVE_VAR(158) GB_ISK11_ItemSocket3
EVT_SAVE_VAR(159) GB_ISK11_ItemSocket4
EVT_SAVE_VAR(160) GB_ISK11_ItemSocket5
EVT_SAVE_VAR(161) GB_Unused_ISK_05
EVT_SAVE_VAR(162) GB_Unused_ISK_06
EVT_SAVE_VAR(163) GB_Unused_ISK_07
EVT_SAVE_VAR(164) GB_Unused_ISK_08
EVT_SAVE_VAR(165) GB_Unused_ISK_09
EVT_SAVE_VAR(166) GB_Unused_ISK_0A
EVT_SAVE_VAR(167) GB_Unused_ISK_0B
EVT_SAVE_VAR(168) GB_Unused_ISK_0C
EVT_SAVE_VAR(169) GB_Unused_ISK_0D
EVT_SAVE_VAR(170) GB_Unused_ISK_0E
EVT_SAVE_VAR(171) GB_MIM_CurrentMapID
EVT_SAVE_VAR(172) GB_Unused_MIM_01
EVT_SAVE_VAR(173) GB_Unused_MIM_02
EVT_SAVE_VAR(174) GB_Unused_MIM_03
EVT_SAVE_VAR(175) GB_Unused_MIM_04
EVT_SAVE_VAR(176) GB_Unused_MIM_05
EVT_SAVE_VAR(177) GB_Unused_MIM_06
EVT_SAVE_VAR(178) GB_Unused_MIM_07
EVT_SAVE_VAR(179) GB_Unused_MIM_08
EVT_SAVE_VAR(180) GB_Unused_MIM_09
EVT_SAVE_VAR(181) GB_Unused_MIM_0A
EVT_SAVE_VAR(182) GB_OBK07_SelectedRecord
EVT_SAVE_VAR(183) GB_Unused_OBK_01
EVT_SAVE_VAR(184) GB_Unused_OBK_02
EVT_SAVE_VAR(185) GB_Unused_OBK_03
EVT_SAVE_VAR(186) GB_Unused_OBK_04
EVT_SAVE_VAR(187) GB_Unused_OBK_05
EVT_SAVE_VAR(188) GB_Unused_OBK_06
EVT_SAVE_VAR(189) GB_Unused_OBK_07
EVT_SAVE_VAR(190) GB_Unused_OBK_08
EVT_SAVE_VAR(191) GB_Unused_OBK_09
EVT_SAVE_VAR(192) GB_Unused_OBK_0A
EVT_SAVE_VAR(193) GB_Unused_ARN_00
EVT_SAVE_VAR(194) GB_Unused_ARN_01
EVT_SAVE_VAR(195) GB_Unused_ARN_02
EVT_SAVE_VAR(196) GB_Unused_ARN_03
EVT_SAVE_VAR(197) GB_Unused_ARN_04
EVT_SAVE_VAR(198) GB_Unused_ARN_05
EVT_SAVE_VAR(199) GB_Unused_ARN_06
EVT_SAVE_VAR(200) GB_Unused_ARN_07
EVT_SAVE_VAR(201) GB_Unused_ARN_08
EVT_SAVE_VAR(202) GB_Unused_ARN_09
EVT_SAVE_VAR(203) GB_ARN_Tubba_MapID
EVT_SAVE_VAR(204) GB_Unused_DGB_01
EVT_SAVE_VAR(205) GB_Unused_DGB_02
EVT_SAVE_VAR(206) GB_Unused_DGB_03
EVT_SAVE_VAR(207) GB_Unused_DGB_04
EVT_SAVE_VAR(208) GB_Unused_DGB_05
EVT_SAVE_VAR(209) GB_Unused_DGB_06
EVT_SAVE_VAR(210) GB_Unused_DGB_07
EVT_SAVE_VAR(211) GB_Unused_DGB_08
EVT_SAVE_VAR(212) GB_Unused_DGB_09
EVT_SAVE_VAR(213) GB_Unused_DGB_0A
EVT_SAVE_VAR(214) GB_Unused_OMO_00
EVT_SAVE_VAR(215) GB_OMO_TrainDestination
EVT_SAVE_VAR(216) GB_OMO_PeachChoice1
EVT_SAVE_VAR(217) GB_OMO_PeachChoice2
EVT_SAVE_VAR(218) GB_OMO_PeachChoice3
EVT_SAVE_VAR(219) GB_Unused_OMO_05
EVT_SAVE_VAR(220) GB_Unused_OMO_06
EVT_SAVE_VAR(221) GB_Unused_OMO_07
EVT_SAVE_VAR(222) GB_Unused_OMO_08
EVT_SAVE_VAR(223) GB_Unused_OMO_09
EVT_SAVE_VAR(224) GB_Unused_OMO_0A
EVT_SAVE_VAR(225) GB_Unused_OMO_0B
EVT_SAVE_VAR(226) GB_Unused_OMO_0C
EVT_SAVE_VAR(227) GB_Unused_OMO_0D
EVT_SAVE_VAR(228) GB_Unused_OMO_0E
EVT_SAVE_VAR(229) GB_Unused_JAN_00
EVT_SAVE_VAR(230) GB_Unused_JAN_01
EVT_SAVE_VAR(231) GB_Unused_JAN_02
EVT_SAVE_VAR(232) GB_Unused_JAN_03
EVT_SAVE_VAR(233) GB_Unused_JAN_04
EVT_SAVE_VAR(234) GB_Unused_JAN_05
EVT_SAVE_VAR(235) GB_Unused_JAN_06
EVT_SAVE_VAR(236) GB_Unused_JAN_07
EVT_SAVE_VAR(237) GB_Unused_JAN_08
EVT_SAVE_VAR(238) GB_Unused_JAN_09
EVT_SAVE_VAR(239) GB_Unused_KZN_00
EVT_SAVE_VAR(240) GB_Unused_KZN_01
EVT_SAVE_VAR(241) GB_Unused_KZN_02
EVT_SAVE_VAR(242) GB_Unused_KZN_03
EVT_SAVE_VAR(243) GB_Unused_KZN_04
EVT_SAVE_VAR(244) GB_Unused_KZN_05
EVT_SAVE_VAR(245) GB_Unused_KZN_06
EVT_SAVE_VAR(246) GB_Unused_KZN_07
EVT_SAVE_VAR(247) GB_Unused_KZN_08
EVT_SAVE_VAR(248) GB_Unused_KZN_09
EVT_SAVE_VAR(249) GB_Unused_FLO_00
EVT_SAVE_VAR(250) GB_Unused_FLO_01
EVT_SAVE_VAR(251) GB_Unused_FLO_02
EVT_SAVE_VAR(252) GB_FLO18_MachineDamage_Left
EVT_SAVE_VAR(253) GB_FLO18_MachineDamage_Right
EVT_SAVE_VAR(254) GB_Unused_FLO_05
EVT_SAVE_VAR(255) GB_Unused_FLO_06
EVT_SAVE_VAR(256) GB_Unused_FLO_07
EVT_SAVE_VAR(257) GB_Unused_FLO_08
EVT_SAVE_VAR(258) GB_Unused_FLO_09
EVT_SAVE_VAR(259) GB_Unused_FLO_0A
EVT_SAVE_VAR(260) GB_Unused_FLO_0B
EVT_SAVE_VAR(261) GB_Unused_FLO_0C
EVT_SAVE_VAR(262) GB_Unused_FLO_0D
EVT_SAVE_VAR(263) GB_Unused_FLO_0E
EVT_SAVE_VAR(264) GB_SAM09_ItemSocket1_LowerByte
EVT_SAVE_VAR(265) GB_SAM09_ItemSocket1_UpperByte
EVT_SAVE_VAR(266) GB_SAM09_ItemSocket2_LowerByte
EVT_SAVE_VAR(267) GB_SAM09_ItemSocket2_UpperByte
EVT_SAVE_VAR(268) GB_SAM09_ItemSocket3_LowerByte
EVT_SAVE_VAR(269) GB_SAM09_ItemSocket3_UpperByte
EVT_SAVE_VAR(270) GB_SAM11_FrozenPondDamage
EVT_SAVE_VAR(271) GB_Unused_SAM_07
EVT_SAVE_VAR(272) GB_Unused_SAM_08
EVT_SAVE_VAR(273) GB_Unused_SAM_09
EVT_SAVE_VAR(274) GB_Unused_SAM_0A
EVT_SAVE_VAR(275) GB_Unused_SAM_0B
EVT_SAVE_VAR(276) GB_Unused_SAM_0C
EVT_SAVE_VAR(277) GB_Unused_SAM_0D
EVT_SAVE_VAR(278) GB_Unused_SAM_0E
EVT_SAVE_VAR(279) GB_Unused_SAM_0F
EVT_SAVE_VAR(280) GB_Unused_SAM_10
EVT_SAVE_VAR(281) GB_Unused_SAM_11
EVT_SAVE_VAR(282) GB_Unused_SAM_12
EVT_SAVE_VAR(283) GB_Unused_PRA_00
EVT_SAVE_VAR(284) GB_PRA18_ClubbasDefeated
EVT_SAVE_VAR(285) GB_PRA19_TutorialState
EVT_SAVE_VAR(286) GB_PRA_TwinStatueState
EVT_SAVE_VAR(287) GB_Unused_PRA_04
EVT_SAVE_VAR(288) GB_Unused_PRA_05
EVT_SAVE_VAR(289) GB_Unused_PRA_06
EVT_SAVE_VAR(290) GB_Unused_PRA_07
EVT_SAVE_VAR(291) GB_Unused_PRA_08
EVT_SAVE_VAR(292) GB_Unused_PRA_09
EVT_SAVE_VAR(293) GB_Unused_PRA_0A
EVT_SAVE_VAR(294) GB_Unused_PRA_0B
EVT_SAVE_VAR(295) GB_Unused_PRA_0C
EVT_SAVE_VAR(296) GB_Unused_PRA_0D
EVT_SAVE_VAR(297) GB_KPA_WaterLevel
EVT_SAVE_VAR(298) GB_KPA81_BowserDoorState
EVT_SAVE_VAR(299) GB_KPA82_BowserDoorState
EVT_SAVE_VAR(300) GB_KPA83_BowserDoorState
EVT_SAVE_VAR(301) GB_KPA111_StatuePosition
EVT_SAVE_VAR(302) GB_KPA113_StatuePosition
EVT_SAVE_VAR(303) GB_KPA115_StatuePosition
EVT_SAVE_VAR(304) GB_KPA04_StatuePosition
EVT_SAVE_VAR(305) GB_Unused_KPA_08
EVT_SAVE_VAR(306) GB_Unused_KPA_09
EVT_SAVE_VAR(307) GB_Unused_KPA_0A
EVT_SAVE_VAR(308) GB_Unused_KPA_0B
EVT_SAVE_VAR(309) GB_Unused_KPA_0C
EVT_SAVE_VAR(310) GB_Unused_KPA_0D
EVT_SAVE_VAR(311) GB_Unused_KPA_0E
EVT_SAVE_VAR(312) GB_Unused_KPA_0F
EVT_SAVE_VAR(313) GB_Unused_KPA_10
EVT_SAVE_VAR(314) GB_Unused_KPA_11
EVT_SAVE_VAR(315) GB_Unused_END_00
EVT_SAVE_VAR(316) GB_Unused_END_01
EVT_SAVE_VAR(317) GB_Unused_END_02
EVT_SAVE_VAR(318) GB_Unused_END_03
EVT_SAVE_VAR(319) GB_Unused_END_04
EVT_SAVE_VAR(320) GB_Unused_END_05
EVT_SAVE_VAR(321) GB_Unused_END_06
EVT_SAVE_VAR(322) GB_Unused_END_07
EVT_SAVE_VAR(323) GB_Unused_END_08
EVT_SAVE_VAR(324) GB_Unused_END_09
EVT_SAVE_VAR(325) GB_Unused_END_0A
EVT_SAVE_VAR(326) GB_Unused_END_0B
EVT_SAVE_VAR(327) GB_Unused_END_0C
EVT_SAVE_VAR(328) GB_Unused_END_0D
EVT_SAVE_VAR(329) GB_Unused_END_0E
EVT_SAVE_VAR(330) GB_Unused_END_0F
EVT_SAVE_VAR(331) GB_Unused_END_10
EVT_SAVE_VAR(332) GB_Unused_END_11
EVT_SAVE_VAR(333) GB_Unused_END_12
EVT_SAVE_VAR(334) GB_Unused_END_13
